measurements_id; time; flux; error; source_id
1; 2995.70353; 15.331; 0.004; 1
2; 3009.83384; 15.045; 0.004; 1
3; 3326.82611; 15.278; 0.004; 1
4; 3337.85411; 15.335; 0.005; 1
5; 3355.77353; 15.15; 0.004; 1
6; 3363.81587; 15.185; 0.005; 1
7; 3370.77266; 14.997; 0.005; 1
8; 3376.78447; 15.347; 0.004; 1
9; 3390.71811; 15.139; 0.004; 1
10; 3398.75272; 15.19; 0.004; 1
11; 3409.58847; 15.003; 0.004; 1
12; 3715.70434; 15.073; 0.004; 1
13; 3720.71692; 15.101; 0.004; 1
14; 3727.8505; 14.953; 0.004; 1
15; 3738.69248; 15.185; 0.004; 1
16; 3747.69509; 15.045; 0.004; 1
17; 3756.64933; 15.31; 0.004; 1
18; 3766.6834; 14.961; 0.004; 1
19; 3774.60947; 14.986; 0.004; 1
20; 3783.63962; 15.294; 0.004; 1
21; 4064.76753; 15.225; 0.004; 1
22; 4072.82608; 15.111; 0.004; 1
23; 4078.6957; 15.276; 0.004; 1
24; 4103.6926; 15.179; 0.004; 1
25; 4113.78304; 15.281; 0.004; 1
26; 4127.70362; 14.948; 0.004; 1
27; 4373.80944; 15.257; 0.004; 1
28; 4396.75985; 15.185; 0.005; 1
29; 4409.81816; 15.326; 0.004; 1
30; 4423.77264; 15.148; 0.004; 1
31; 4434.79356; 14.972; 0.004; 1
32; 4443.82947; 15.284; 0.004; 1
33; 4454.74273; 15.114; 0.004; 1
34; 4462.74868; 15.176; 0.004; 1
35; 4472.68203; 15.161; 0.004; 1
36; 4482.84278; 15.295; 0.004; 1
37; 4488.77715; 14.944; 0.004; 1
38; 4511.68245; 15.081; 0.004; 1
39; 527.55763; 17.242; 0.012; 2
40; 706.8994; 17.312; 0.011; 2
41; 713.9062; 17.282; 0.019; 2
42; 716.83619; 17.238; 0.013; 2
43; 722.84537; 17.103; 0.01; 2
44; 748.82666; 17.061; 0.008; 2
45; 755.81782; 17.179; 0.01; 2
46; 799.74063; 16.987; 0.008; 2
47; 821.74854; 17.072; 0.014; 2
48; 824.77815; 17.252; 0.012; 2
49; 825.76253; 17.23; 0.013; 2
50; 826.85699; 16.999; 0.014; 2
51; 833.74662; 16.965; 0.009; 2
52; 835.78646; 17.186; 0.011; 2
53; 836.72612; 17.271; 0.01; 2
54; 837.74128; 17.264; 0.008; 2
55; 843.78606; 17.063; 0.01; 2
56; 844.75535; 17.303; 0.01; 2
57; 845.7779; 17.094; 0.01; 2
58; 857.62081; 17.143; 0.013; 2
59; 859.70709; 17.116; 0.011; 2
60; 881.7106; 17.047; 0.011; 2
61; 891.57648; 17.262; 0.009; 2
62; 894.50429; 17.324; 0.011; 2
63; 921.61544; 17.365; 0.014; 2
64; 1107.87062; 17.161; 0.012; 2
65; 1129.74089; 16.931; 0.017; 2
66; 1153.8289; 17.217; 0.014; 2
67; 1225.62091; 17.114; 0.009; 2
68; 1235.66494; 17.02; 0.008; 2
69; 1246.66543; 17.351; 0.009; 2
70; 1253.54559; 17.289; 0.01; 2
71; 1291.55864; 16.966; 0.013; 2
72; 1477.82857; 17.28; 0.013; 2
73; 1496.67478; 17.344; 0.013; 2
74; 1515.75335; 17.017; 0.009; 2
75; 1524.74874; 17.121; 0.009; 2
76; 1545.70847; 17.319; 0.009; 2
77; 1551.7569; 16.965; 0.012; 2
78; 1565.57792; 16.991; 0.012; 2
79; 1579.68923; 17.275; 0.009; 2
80; 1615.59363; 17.312; 0.011; 2
81; 1620.65477; 17.336; 0.017; 2
82; 1623.51427; 17.057; 0.014; 2
83; 1628.56056; 17.044; 0.012; 2
84; 2112.94236; 17.122; 0.009; 2
85; 2116.94096; 17.32; 0.012; 2
86; 2122.92512; 16.911; 0.006; 2
87; 2128.93121; 17.337; 0.011; 2
88; 2135.92855; 17.311; 0.009; 2
89; 2143.91908; 17.278; 0.009; 2
90; 2990.67416; 17.146; 0.008; 2
91; 3008.81308; 17.3; 0.009; 2
92; 3326.74263; 17.336; 0.008; 2
93; 3336.74835; 17.282; 0.01; 2
94; 3341.85401; 17.308; 0.01; 2
95; 3351.71602; 17.114; 0.008; 2
96; 3356.67912; 17.026; 0.007; 2
97; 3361.65237; 16.94; 0.008; 2
98; 3370.71876; 17.224; 0.009; 2
99; 3376.69909; 17.219; 0.009; 2
100; 3385.72082; 17.138; 0.008; 2
101; 3391.61622; 17.33; 0.009; 2
102; 3406.64153; 17.302; 0.008; 2
103; 3714.77274; 17.288; 0.008; 2
104; 3721.82336; 17.151; 0.009; 2
105; 3728.66638; 17.293; 0.008; 2
106; 3737.72063; 17.083; 0.007; 2
107; 3746.64782; 17.18; 0.009; 2
108; 3754.57556; 17.21; 0.008; 2
109; 3763.61386; 17.178; 0.007; 2
110; 3773.66643; 17.141; 0.008; 2
111; 4058.73381; 17.243; 0.007; 2
112; 4070.72897; 17.077; 0.008; 2
113; 4077.76399; 16.94; 0.008; 2
114; 4098.68871; 17.176; 0.008; 2
115; 4105.74054; 17.312; 0.009; 2
116; 4112.74342; 17.327; 0.008; 2
117; 4132.6874; 17.158; 0.01; 2
118; 4371.87119; 16.99; 0.009; 2
119; 4380.8481; 17.249; 0.008; 2
120; 4394.74173; 17.28; 0.009; 2
121; 4408.7433; 17.315; 0.01; 2
122; 4421.82268; 17.262; 0.009; 2
123; 4430.83501; 17.267; 0.011; 2
124; 4434.84596; 16.935; 0.008; 2
125; 4452.70781; 17.288; 0.009; 2
126; 4459.6927; 17.336; 0.011; 2
127; 4467.71687; 17.183; 0.008; 2
128; 4477.79373; 17.218; 0.009; 2
129; 4482.73267; 17.04; 0.007; 2
130; 4486.7667; 17.351; 0.011; 2
131; 4511.59596; 17.039; 0.008; 2
132; 3025.71554; 17.522; 0.01; 3
133; 3351.70417; 17.459; 0.01; 3
134; 3361.63972; 17.652; 0.011; 3
135; 3369.82998; 17.548; 0.012; 3
136; 3390.6721; 17.52; 0.012; 3
137; 3409.63835; 17.747; 0.01; 3
138; 3721.78599; 17.466; 0.012; 3
139; 749.82256; 15.779; 0.006; 4
140; 799.83638; 16.023; 0.007; 4
141; 822.707; 15.601; 0.012; 4
142; 825.85704; 15.912; 0.009; 4
143; 844.80725; 15.958; 0.006; 4
144; 875.69636; 15.843; 0.008; 4
145; 900.68318; 15.927; 0.007; 4
146; 1087.87428; 15.941; 0.008; 4
147; 1090.84176; 15.866; 0.013; 4
148; 1143.81427; 15.924; 0.013; 4
149; 1152.83673; 15.848; 0.008; 4
150; 1155.7327; 15.965; 0.01; 4
151; 1156.83928; 15.806; 0.01; 4
152; 1159.84648; 15.626; 0.011; 4
153; 1160.79007; 15.71; 0.009; 4
154; 1169.82721; 15.705; 0.007; 4
155; 1205.8002; 15.609; 0.008; 4
156; 1212.73572; 15.826; 0.006; 4
157; 1215.7406; 15.593; 0.006; 4
158; 1232.71227; 15.689; 0.007; 4
159; 1239.67716; 15.984; 0.009; 4
160; 1258.54033; 15.991; 0.009; 4
161; 1477.78151; 15.608; 0.01; 4
162; 1495.79025; 15.628; 0.007; 4
163; 1521.79809; 15.786; 0.008; 4
164; 1522.81654; 15.697; 0.008; 4
165; 1545.828; 15.867; 0.01; 4
166; 1551.79747; 15.643; 0.014; 4
167; 1568.75413; 15.758; 0.008; 4
168; 1576.74133; 15.966; 0.008; 4
169; 1586.69574; 15.826; 0.011; 4
170; 1593.68523; 16.017; 0.01; 4
171; 1596.65091; 15.748; 0.009; 4
172; 1615.63488; 15.744; 0.006; 4
173; 1621.63508; 15.992; 0.009; 4
174; 1624.65496; 15.801; 0.006; 4
175; 1631.63701; 16.07; 0.013; 4
176; 1658.59628; 15.962; 0.009; 4
177; 2997.68604; 16.098; 0.006; 4
178; 3331.84462; 15.788; 0.005; 4
179; 3337.74478; 15.697; 0.005; 4
180; 3355.81306; 15.74; 0.005; 4
181; 3359.8166; 15.779; 0.005; 4
182; 3362.8469; 16.089; 0.005; 4
183; 3365.83388; 15.684; 0.005; 4
184; 3373.76086; 15.832; 0.005; 4
185; 3381.76234; 16.068; 0.005; 4
186; 3389.77612; 16.027; 0.005; 4
187; 3397.78464; 15.833; 0.006; 4
188; 3405.64885; 15.692; 0.005; 4
189; 3713.78779; 15.627; 0.005; 4
190; 3718.73771; 16.033; 0.006; 4
191; 3722.69508; 15.584; 0.005; 4
192; 3733.70933; 15.718; 0.005; 4
193; 3742.6723; 15.682; 0.005; 4
194; 3751.65363; 15.652; 0.005; 4
195; 3759.68483; 15.639; 0.005; 4
196; 3775.75913; 15.851; 0.005; 4
197; 3783.67278; 16.063; 0.006; 4
198; 4065.74631; 15.853; 0.005; 4
199; 4074.70297; 15.928; 0.006; 4
200; 4095.70529; 15.688; 0.005; 4
201; 4103.72756; 15.79; 0.006; 4
202; 4126.74187; 15.722; 0.005; 4
203; 4377.8862; 15.594; 0.005; 4
204; 4397.83516; 15.697; 0.006; 4
205; 4423.80624; 15.624; 0.005; 4
206; 4434.84122; 15.636; 0.005; 4
207; 4452.79025; 15.598; 0.005; 4
208; 4466.77245; 16.044; 0.006; 4
209; 4468.8101; 15.762; 0.005; 4
210; 4480.78544; 15.593; 0.005; 4
211; 4485.83796; 16.01; 0.005; 4
212; 4511.71533; 15.894; 0.005; 4
213; 3001.64593; 16.858; 0.006; 5
214; 3026.74618; 16.535; 0.005; 5
215; 3331.73737; 16.866; 0.008; 5
216; 3341.74126; 16.418; 0.005; 5
217; 3355.73525; 16.708; 0.006; 5
218; 3359.66433; 16.606; 0.006; 5
219; 3365.64453; 16.854; 0.008; 5
220; 3370.67654; 16.744; 0.007; 5
221; 3376.65672; 16.723; 0.006; 5
222; 3386.73194; 16.607; 0.005; 5
223; 3409.59741; 16.496; 0.005; 5
224; 3716.8424; 16.619; 0.005; 5
225; 3721.71979; 16.605; 0.006; 5
226; 3731.72924; 16.623; 0.005; 5
227; 3739.68786; 16.481; 0.005; 5
228; 3748.66108; 16.774; 0.008; 5
229; 3755.68464; 16.426; 0.005; 5
230; 3761.75828; 16.81; 0.005; 5
231; 3765.68894; 16.711; 0.005; 5
232; 3771.60556; 16.834; 0.006; 5
233; 4064.73488; 16.768; 0.005; 5
234; 4073.71364; 16.417; 0.006; 5
235; 4079.6738; 16.808; 0.006; 5
236; 4093.68965; 16.721; 0.005; 5
237; 4112.64039; 16.716; 0.005; 5
238; 4124.72018; 16.824; 0.005; 5
239; 4132.65202; 16.885; 0.007; 5
240; 4392.87101; 16.453; 0.005; 5
241; 4402.7798; 16.627; 0.007; 5
242; 4417.77696; 16.728; 0.006; 5
243; 4426.79598; 16.409; 0.006; 5
244; 4438.77077; 16.567; 0.006; 5
245; 4452.69894; 16.548; 0.006; 5
246; 4464.68695; 16.396; 0.005; 5
247; 4471.68154; 16.568; 0.005; 5
248; 4479.77277; 16.522; 0.005; 5
249; 4483.76127; 16.479; 0.005; 5
250; 4486.72746; 16.684; 0.007; 5
251; 4510.58209; 16.459; 0.005; 5
252; 749.81205; 15.677; 0.006; 6
253; 799.82583; 15.11; 0.005; 6
254; 822.69645; 15.288; 0.01; 6
255; 825.84656; 15.396; 0.007; 6
256; 844.79674; 15.294; 0.007; 6
257; 875.68582; 15.31; 0.007; 6
258; 900.67259; 15.585; 0.008; 6
259; 1087.86379; 15.387; 0.005; 6
260; 1090.83129; 15.2; 0.014; 6
261; 1130.83745; 15.114; 0.012; 6
262; 1143.80381; 15.191; 0.011; 6
263; 1152.82624; 15.112; 0.011; 6
264; 1155.72217; 15.66; 0.01; 6
265; 1156.82879; 15.366; 0.01; 6
266; 1159.83597; 15.604; 0.006; 6
267; 1160.7796; 15.695; 0.007; 6
268; 1169.8167; 15.603; 0.008; 6
269; 1205.78967; 15.111; 0.01; 6
270; 1212.72521; 15.585; 0.008; 6
271; 1215.73009; 15.396; 0.008; 6
272; 1232.70174; 15.213; 0.008; 6
273; 1239.66663; 15.659; 0.009; 6
274; 1258.52979; 15.171; 0.009; 6
275; 1477.77105; 15.636; 0.011; 6
276; 1489.825; 15.465; 0.006; 6
277; 1495.77978; 15.694; 0.007; 6
278; 1521.78757; 15.636; 0.006; 6
279; 1522.80601; 15.606; 0.007; 6
280; 1545.81749; 15.158; 0.007; 6
281; 1551.78698; 15.496; 0.01; 6
282; 1568.74359; 15.366; 0.009; 6
283; 1576.73079; 15.176; 0.006; 6
284; 1586.68522; 15.429; 0.01; 6
285; 1593.67469; 15.332; 0.008; 6
286; 1596.6404; 15.633; 0.006; 6
287; 1615.62437; 15.456; 0.009; 6
288; 1621.62452; 15.364; 0.007; 6
289; 1624.64442; 15.266; 0.007; 6
290; 1631.62646; 15.556; 0.013; 6
291; 1658.58531; 15.637; 0.007; 6
292; 2997.68604; 15.205; 0.005; 6
293; 3331.84462; 15.64; 0.005; 6
294; 3337.74478; 15.281; 0.005; 6
295; 3355.81306; 15.386; 0.005; 6
296; 3359.8166; 15.292; 0.005; 6
297; 3362.8469; 15.545; 0.005; 6
298; 3365.83388; 15.581; 0.005; 6
299; 3373.76086; 15.447; 0.005; 6
300; 3381.76234; 15.261; 0.005; 6
301; 3389.77612; 15.115; 0.005; 6
302; 3397.78464; 15.715; 0.005; 6
303; 3405.64885; 15.611; 0.005; 6
304; 3713.78779; 15.501; 0.005; 6
305; 3718.73771; 15.583; 0.005; 6
306; 3722.69508; 15.516; 0.005; 6
307; 3733.70933; 15.324; 0.005; 6
308; 3742.6723; 15.193; 0.005; 6
309; 3751.65363; 15.101; 0.005; 6
310; 3759.68483; 15.708; 0.005; 6
311; 3775.75913; 15.537; 0.005; 6
312; 3783.67278; 15.351; 0.005; 6
313; 4065.74631; 15.279; 0.005; 6
314; 4074.70297; 15.308; 0.005; 6
315; 4095.70529; 15.159; 0.005; 6
316; 4103.72756; 15.723; 0.005; 6
317; 4126.74187; 15.087; 0.005; 6
318; 4377.8862; 15.346; 0.005; 6
319; 4397.83516; 15.522; 0.005; 6
320; 4423.80624; 15.432; 0.005; 6
321; 4434.84122; 15.683; 0.005; 6
322; 4452.79025; 15.446; 0.005; 6
323; 4466.77245; 15.131; 0.005; 6
324; 4468.8101; 15.581; 0.005; 6
325; 4480.78544; 15.344; 0.005; 6
326; 4485.83796; 15.485; 0.005; 6
327; 4511.71533; 15.353; 0.005; 6
328; 467.7366; 15.937; 0.013; 7
329; 471.7589; 16.326; 0.012; 7
330; 478.65566; 16.476; 0.008; 7
331; 479.62271; 15.75; 0.007; 7
332; 481.63837; 16.469; 0.006; 7
333; 484.613; 16.442; 0.007; 7
334; 485.70587; 15.77; 0.008; 7
335; 490.61836; 16.433; 0.007; 7
336; 498.69305; 16.147; 0.009; 7
337; 501.65803; 16.125; 0.008; 7
338; 527.62038; 16.517; 0.007; 7
339; 539.60243; 16.493; 0.007; 7
340; 541.67095; 16.275; 0.006; 7
341; 553.55093; 16.148; 0.009; 7
342; 797.83059; 16.349; 0.009; 7
343; 821.72287; 16.194; 0.01; 7
344; 835.76089; 15.787; 0.01; 7
345; 845.72743; 16.081; 0.007; 7
346; 859.63897; 16.497; 0.006; 7
347; 881.69527; 15.765; 0.009; 7
348; 894.61875; 16.155; 0.008; 7
349; 1130.77763; 16.476; 0.008; 7
350; 1178.83033; 16.415; 0.009; 7
351; 1182.78218; 16.247; 0.011; 7
352; 1188.81732; 16.386; 0.006; 7
353; 1190.78725; 16.363; 0.007; 7
354; 1193.74059; 16.349; 0.006; 7
355; 1205.69958; 16.273; 0.009; 7
356; 1212.65619; 16.452; 0.009; 7
357; 1220.70079; 16.184; 0.011; 7
358; 1239.59614; 16.342; 0.009; 7
359; 1247.63708; 16.024; 0.006; 7
360; 1291.54282; 16.412; 0.015; 7
361; 1496.77375; 15.726; 0.005; 7
362; 1515.82376; 16.079; 0.006; 7
363; 1524.73275; 15.963; 0.006; 7
364; 1543.80576; 16.286; 0.006; 7
365; 1550.79558; 16.471; 0.01; 7
366; 1572.78133; 15.992; 0.008; 7
367; 1573.78251; 16.107; 0.009; 7
368; 1587.65849; 16.5; 0.007; 7
369; 1618.60087; 15.731; 0.011; 7
370; 1624.56828; 15.965; 0.008; 7
371; 1631.55013; 16.059; 0.01; 7
372; 2990.68506; 16.313; 0.005; 7
373; 3008.82397; 16.259; 0.006; 7
374; 3326.75505; 16.513; 0.006; 7
375; 3336.7608; 15.778; 0.005; 7
376; 3351.72849; 15.725; 0.005; 7
377; 3356.69228; 16.414; 0.005; 7
378; 3361.66482; 16.081; 0.005; 7
379; 3370.73126; 16.049; 0.005; 7
380; 3376.71157; 15.992; 0.005; 7
381; 3385.73332; 15.936; 0.005; 7
382; 3391.6287; 15.825; 0.005; 7
383; 3406.65401; 15.698; 0.005; 7
384; 3714.78513; 15.981; 0.005; 7
385; 3721.83576; 16.347; 0.006; 7
386; 3728.67873; 16.496; 0.005; 7
387; 3737.733; 16.488; 0.005; 7
388; 3746.6602; 16.431; 0.006; 7
389; 3754.58798; 16.08; 0.005; 7
390; 3763.62628; 16.042; 0.005; 7
391; 3773.67881; 16.371; 0.006; 7
392; 4058.74603; 15.856; 0.005; 7
393; 4070.74121; 15.728; 0.005; 7
394; 4077.7762; 16.202; 0.006; 7
395; 4098.70096; 16.036; 0.005; 7
396; 4105.75282; 16.375; 0.006; 7
397; 4112.75566; 16.492; 0.005; 7
398; 4132.69966; 16.22; 0.006; 7
399; 4371.88402; 16.203; 0.006; 7
400; 4380.86113; 16.46; 0.006; 7
401; 4394.75401; 16.281; 0.006; 7
402; 4408.75555; 15.694; 0.005; 7
403; 4421.83493; 16.158; 0.005; 7
404; 4434.85819; 16.4; 0.007; 7
405; 4452.72002; 16.305; 0.006; 7
406; 4459.70494; 16.499; 0.007; 7
407; 4467.72908; 16.244; 0.006; 7
408; 4477.80597; 16.466; 0.006; 7
409; 4482.74495; 16.145; 0.005; 7
410; 4486.78245; 16.422; 0.007; 7
411; 4511.60836; 16.499; 0.007; 7
412; 2997.68604; 16.562; 0.006; 8
413; 3331.84462; 16.51; 0.006; 8
414; 3337.74478; 16.119; 0.006; 8
415; 3355.81306; 16.139; 0.005; 8
416; 3359.8166; 16.499; 0.006; 8
417; 3362.8469; 16.57; 0.006; 8
418; 3365.83388; 16.595; 0.007; 8
419; 3373.76086; 16.608; 0.007; 8
420; 3381.76234; 16.56; 0.006; 8
421; 3389.77612; 16.46; 0.006; 8
422; 3397.78464; 16.29; 0.006; 8
423; 3405.64885; 16.329; 0.006; 8
424; 3713.78779; 16.07; 0.005; 8
425; 3718.73771; 16.249; 0.006; 8
426; 3722.69508; 16.474; 0.006; 8
427; 3733.70933; 16.57; 0.006; 8
428; 3742.6723; 16.064; 0.005; 8
429; 3751.65363; 16.498; 0.007; 8
430; 3759.68483; 16.511; 0.006; 8
431; 3775.75913; 16.567; 0.006; 8
432; 3783.67278; 16.552; 0.006; 8
433; 4065.74631; 16.527; 0.006; 8
434; 4074.70297; 16.325; 0.007; 8
435; 4095.70529; 16.304; 0.005; 8
436; 4103.72756; 16.355; 0.007; 8
437; 4126.74187; 16.055; 0.005; 8
438; 4377.8862; 16.513; 0.006; 8
439; 4397.83516; 16.137; 0.006; 8
440; 4434.84122; 16.219; 0.006; 8
441; 4452.79025; 16.073; 0.006; 8
442; 4466.77245; 16.383; 0.006; 8
443; 4468.8101; 16.094; 0.005; 8
444; 4480.78544; 16.578; 0.005; 8
445; 4485.83796; 16.537; 0.006; 8
446; 4511.71533; 16.437; 0.006; 8
447; 748.8372; 16.137; 0.006; 9
448; 799.78339; 16.49; 0.007; 9
449; 822.65384; 15.872; 0.007; 9
