measurements_id; time; flux; error; source_id
1; 832.81291; 19.46; 0.042; 1
2; 833.72157; 19.275; 0.042; 1
3; 834.75069; 19.187; 0.033; 1
4; 836.68804; 19.216; 0.023; 1
5; 837.71768; 19.183; 0.029; 1
6; 841.78087; 19.592; 0.049; 1
7; 842.72459; 19.297; 0.035; 1
8; 843.70606; 19.41; 0.032; 1
9; 844.7004; 19.589; 0.048; 1
10; 845.7878; 19.268; 0.027; 1
11; 846.74357; 19.222; 0.029; 1
12; 850.74323; 19.494; 0.036; 1
13; 857.64652; 18.903; 0.042; 1
14; 858.7191; 19.582; 0.069; 1
15; 859.65343; 19.387; 0.054; 1
16; 860.70521; 19.231; 0.063; 1
17; 866.5894; 19.36; 0.038; 1
18; 874.57489; 19.207; 0.03; 1
19; 875.62744; 19.22; 0.046; 1
20; 876.56076; 19.461; 0.039; 1
21; 877.51595; 19.061; 0.039; 1
22; 878.61118; 19.407; 0.07; 1
23; 879.59239; 19.437; 0.044; 1
24; 880.58556; 19.148; 0.043; 1
25; 881.52432; 19.469; 0.065; 1
26; 887.52598; 19.612; 0.092; 1
27; 890.51263; 19.462; 0.035; 1
28; 891.52561; 19.514; 0.049; 1
29; 892.61028; 19.194; 0.033; 1
30; 893.6673; 19.266; 0.04; 1
31; 895.63865; 19.138; 0.033; 1
32; 896.64434; 19.475; 0.032; 1
33; 900.61556; 19.402; 0.034; 1
34; 922.53427; 19.387; 0.038; 1
35; 1108.8504; 19.493; 0.039; 1
36; 1131.78182; 19.534; 0.039; 1
37; 1133.8421; 18.929; 0.025; 1
38; 1143.82663; 19.475; 0.036; 1
39; 1153.73607; 19.101; 0.042; 1
40; 1156.76756; 19.216; 0.041; 1
41; 1169.84115; 19.459; 0.042; 1
42; 1193.66966; 19.431; 0.035; 1
43; 1194.78914; 19.453; 0.045; 1
44; 1205.77908; 19.4; 0.03; 1
45; 1207.75465; 19.339; 0.058; 1
46; 1212.71568; 19.115; 0.041; 1
47; 1215.72054; 19.091; 0.041; 1
48; 1220.71903; 19.428; 0.033; 1
49; 1232.69215; 19.309; 0.027; 1
50; 1239.65708; 19.266; 0.05; 1
51; 1258.52025; 19.212; 0.023; 1
52; 1261.54922; 19.359; 0.04; 1
53; 1264.54875; 19.238; 0.045; 1
54; 1266.57212; 19.561; 0.074; 1
55; 1268.54893; 19.155; 0.052; 1
56; 1272.55062; 19.425; 0.054; 1
57; 1275.57369; 19.523; 0.039; 1
58; 1277.56262; 19.347; 0.031; 1
59; 1477.7617; 19.502; 0.076; 1
60; 1489.81564; 19.456; 0.025; 1
61; 1495.7704; 19.447; 0.031; 1
62; 1521.77811; 19.503; 0.033; 1
63; 1522.79656; 19.424; 0.031; 1
64; 1545.80796; 19.486; 0.031; 1
65; 1551.77748; 19.41; 0.033; 1
66; 1568.73406; 19.505; 0.054; 1
67; 1576.72123; 19.054; 0.024; 1
68; 1586.67567; 19.495; 0.033; 1
69; 1593.66514; 19.221; 0.055; 1
70; 1596.63084; 19.069; 0.042; 1
71; 1615.6148; 19.476; 0.039; 1
72; 1621.61501; 19.632; 0.101; 1
73; 1624.63488; 19.386; 0.069; 1
74; 1631.61694; 19.25; 0.029; 1
75; 1655.5834; 18.967; 0.055; 1
76; 1658.57444; 18.982; 0.033; 1
77; 1661.50657; 19.249; 0.033; 1
78; 1662.56543; 19.533; 0.039; 1
79; 1663.54484; 19.232; 0.032; 1
80; 2990.68858; 19.493; 0.025; 1
81; 3008.8275; 19.377; 0.026; 1
82; 3326.75913; 19.224; 0.023; 1
83; 3336.76484; 19.612; 0.058; 1
84; 3351.73255; 19.495; 0.032; 1
85; 3356.69631; 19.118; 0.019; 1
86; 3361.66887; 19.239; 0.03; 1
87; 3370.73531; 19.234; 0.034; 1
88; 3376.71563; 19.297; 0.026; 1
89; 3385.73738; 19.212; 0.021; 1
90; 3391.63277; 18.911; 0.026; 1
91; 3406.6581; 18.968; 0.018; 1
92; 3714.78914; 18.886; 0.018; 1
93; 3721.83978; 19.666; 0.065; 1
94; 3728.68275; 19.174; 0.024; 1
95; 3737.73703; 19.188; 0.019; 1
96; 3746.66425; 19.233; 0.034; 1
97; 3754.59202; 19.204; 0.024; 1
98; 3763.63032; 19.234; 0.018; 1
99; 3773.68287; 19.513; 0.052; 1
100; 4058.75002; 19.551; 0.023; 1
101; 4070.74519; 19.465; 0.045; 1
102; 4077.78019; 19.218; 0.043; 1
103; 4098.70492; 18.958; 0.023; 1
104; 4105.7568; 19.528; 0.059; 1
105; 4112.75965; 19.372; 0.025; 1
106; 4132.70369; 19.419; 0.061; 1
107; 4371.88802; 19.015; 0.041; 1
108; 4380.86514; 19.29; 0.026; 1
109; 4394.75801; 19.178; 0.029; 1
110; 4408.75955; 19.274; 0.03; 1
111; 4421.83889; 19.006; 0.021; 1
112; 4434.86215; 19.492; 0.08; 1
113; 4452.72398; 19.442; 0.027; 1
114; 4459.70889; 19.216; 0.051; 1
115; 4467.73305; 19.345; 0.031; 1
116; 4477.80997; 19.041; 0.023; 1
117; 4482.74971; 19.383; 0.024; 1
118; 4486.78646; 19.189; 0.051; 1
119; 4511.61237; 19.284; 0.033; 1
120; 479.72025; 18.787; 0.021; 2
121; 485.6468; 19.271; 0.028; 2
122; 527.65695; 19.088; 0.046; 2
123; 714.88855; 19.052; 0.027; 2
124; 748.80385; 19.474; 0.042; 2
125; 755.85634; 19.244; 0.03; 2
126; 799.77344; 19.452; 0.055; 2
127; 821.78056; 19.28; 0.035; 2
128; 824.81013; 19.514; 0.057; 2
129; 825.79449; 19.077; 0.05; 2
130; 836.75854; 19.142; 0.028; 2
131; 843.76389; 18.725; 0.022; 2
132; 844.7337; 19.267; 0.035; 2
133; 857.59968; 19.212; 0.056; 2
134; 859.68543; 19.04; 0.044; 2
135; 881.62208; 19.607; 0.073; 2
136; 890.57605; 19.252; 0.041; 2
137; 894.5381; 19.571; 0.049; 2
138; 921.59171; 19.544; 0.053; 2
139; 1129.77631; 18.861; 0.025; 2
140; 1158.84466; 19.47; 0.056; 2
141; 1205.7254; 18.781; 0.024; 2
142; 1225.65284; 19.595; 0.033; 2
143; 1235.60533; 19.519; 0.05; 2
144; 1245.64417; 19.592; 0.062; 2
145; 1259.54564; 18.985; 0.032; 2
146; 1496.80159; 19.036; 0.027; 2
147; 1499.81817; 19.296; 0.036; 2
148; 1515.73102; 19.443; 0.035; 2
149; 1523.82985; 19.542; 0.042; 2
150; 1545.74101; 19.352; 0.039; 2
151; 1550.72495; 19.319; 0.035; 2
152; 1567.66535; 18.796; 0.031; 2
153; 1584.67622; 19.608; 0.036; 2
154; 1620.63318; 19.163; 0.108; 2
155; 1623.57091; 18.771; 0.048; 2
156; 1629.57404; 19.279; 0.035; 2
157; 2993.66283; 19.607; 0.037; 2
158; 3025.70751; 19.331; 0.025; 2
159; 3326.72129; 19.304; 0.024; 2
160; 3336.72716; 19.273; 0.044; 2
161; 3341.83186; 19.439; 0.046; 2
162; 3351.69514; 19.135; 0.024; 2
163; 3356.65748; 19.05; 0.023; 2
164; 3361.63071; 18.983; 0.026; 2
165; 3369.82099; 19.477; 0.049; 2
166; 3375.75059; 19.572; 0.04; 2
167; 3382.66238; 19.478; 0.029; 2
168; 3390.66307; 19.395; 0.041; 2
169; 3714.75114; 19.694; 0.033; 2
170; 3721.77706; 19.536; 0.05; 2
171; 3730.70533; 18.91; 0.018; 2
172; 3739.73985; 19.473; 0.024; 2
173; 3747.64854; 19.577; 0.059; 2
174; 3754.61806; 19.412; 0.035; 2
175; 3763.59142; 18.903; 0.018; 2
176; 3773.64558; 18.756; 0.02; 2
177; 4058.71319; 19.588; 0.028; 2
178; 4072.75209; 19.188; 0.041; 2
179; 4078.7845; 19.482; 0.054; 2
180; 4098.64104; 19.376; 0.034; 2
181; 4105.71883; 19.224; 0.047; 2
182; 4112.72249; 18.908; 0.018; 2
183; 4372.84931; 18.779; 0.024; 2
184; 4394.78264; 19.531; 0.036; 2
185; 4407.7602; 19.531; 0.044; 2
186; 4420.78303; 19.113; 0.024; 2
187; 4427.81958; 19.532; 0.049; 2
188; 4441.68473; 18.89; 0.019; 2
189; 4464.73632; 19.195; 0.029; 2
190; 4472.61935; 19.186; 0.02; 2
191; 4481.7099; 19.067; 0.02; 2
192; 4485.75699; 19.419; 0.07; 2
193; 4511.5752; 19.441; 0.041; 2
194; 2995.68935; 18.76; 0.018; 3
195; 3009.81968; 19.43; 0.041; 3
196; 3326.80986; 19.334; 0.027; 3
